Session #,SNI,TLS Version,TLS Level,Cipher Suite,Vulnerable Field,Vulnerability Level,Issuer,Expiry Date,Public Key Algorithm, MigratiTn Required, Total
121,adbsmetrics.hyundai.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-05-16,ECDSA,F,TLS_H_CS_M
122,www.ebay.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Organization Validation Secure Server CA,2026-03-04,RSA,F,TLS_H_CS_M
123,kwpapi.kia.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Sectigo RSA Organization Validation Secure Server CA,2025-11-07,RSA,F,TLS_M_CS_L
124,netfunnel2.hmc.co.kr,1.2,M,Unknown (0x009C),Unknown,L,Sectigo RSA Organization Validation Secure Server CA,2025-11-07,RSA,F,TLS_M_CS_L
125,www.paypal.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert SHA2 Extended Validation Server CA,2026-01-09,RSA,F,TLS_H_CS_M
126,secureir.ebaystatic.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Organization Validation Secure Server CA,2026-03-04,RSA,F,TLS_H_CS_M
127,ir.ebaystatic.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Organization Validation Secure Server CA,2025-10-18,RSA,T,TLS_H_CS_M
128,t1.daumcdn.net,1.2,M,ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,RSA+ECDHE,L,Thawte TLS RSA CA G1,2026-01-30,RSA,F,TLS_M_CS_L
129,bc.ad.daum.net,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Thawte TLS RSA CA G1,2026-01-30,RSA,F,TLS_M_CS_L
130,i.ebayimg.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo Public Server Authentication CA OV R36,2026-05-30,RSA,F,TLS_H_CS_M
131,st2.exelbid.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2025-12-07,RSA,F,TLS_H_CS_M
132,www.paypalobjects.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert EV RSA CA G2,2026-06-16,RSA,F,TLS_H_CS_M
133,alibaba.com,1.3,H,AES_256_GCM_SHA384,None,H,GlobalSign GCC R3 OV TLS CA 2024,2026-04-12,ECDSA,F,TLS_H_CS_H
134,srv.main.ebayrtm.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Organization Validation Secure Server CA,2026-02-17,RSA,F,TLS_H_CS_M
135,www.alibaba.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2026-07-07,ECDSA,F,TLS_H_CS_H
136,hanabank.com,1.2,M,ECDHE_RSA_WITH_AES_256_GCM_SHA384,RSA+ECDHE,L,Thawte EV RSA CA G2,2026-05-06,RSA,F,TLS_M_CS_L
